iter	RMSE
0	12.58591107
1	11.02428935
2	9.935591089
3	9.271858143
4	8.874011505
5	8.591227417
6	8.438231163
7	8.316054297
8	8.240253332
9	8.191107377
10	8.147754309
11	8.118918397
12	8.098320095
13	8.073188135
14	8.035765565
15	8.022659305
16	7.999655898
17	7.982211143
18	7.970820782
19	7.956720632
20	7.94965215
21	7.935951771
22	7.930551557
23	7.891667286
24	7.852427877
25	7.832530999
26	7.796048632
27	7.783879291
28	7.775278271
29	7.739755632
30	7.725276621
31	7.705234432
32	7.680656523
33	7.667977621
34	7.648516272
35	7.629726757
36	7.622359844
37	7.609152517
38	7.598846984
39	7.583101526
40	7.550303196
41	7.533001398
42	7.525942438
43	7.502947333
44	7.47774868
45	7.433160725
46	7.395901068
47	7.350523717
48	7.34086675
49	7.321820097
50	7.309455667
51	7.304715674
52	7.270591434
53	7.239236833
54	7.229702369
55	7.223998531
56	7.181922391
57	7.152117958
58	7.144594519
59	7.143137695
60	7.125609325
61	7.086330431
62	7.070491363
63	7.043271218
64	7.026223747
65	7.011201468
66	6.989730465
67	6.963822067
68	6.95305663
69	6.936998754
70	6.900049297
71	6.881867344
72	6.878122215
73	6.864984091
74	6.849988247
75	6.843454773
76	6.826782999
77	6.798795639
78	6.796106578
79	6.789410384
80	6.771783731
81	6.765850633
82	6.76059304
83	6.733856301
84	6.71242137
85	6.709973979
86	6.697258889
87	6.671739235
88	6.665094408
89	6.656351466
90	6.638253708
91	6.633459537
92	6.622502707
93	6.596138045
94	6.576566374
95	6.560112868
96	6.530500467
97	6.526247042
98	6.525038776
99	6.518271562
