iter	Passed	Remaining
0	140	13941
1	142	6992
2	144	4680
3	147	3531
4	149	2835
5	151	2370
6	153	2045
7	156	1795
8	158	1601
9	159	1437
10	160	1300
11	162	1195
12	164	1103
13	166	1021
14	168	956
15	170	894
16	171	838
17	173	788
18	174	743
19	175	702
20	176	664
21	177	630
22	178	598
23	179	569
24	180	541
25	181	516
26	182	493
27	183	470
28	183	450
29	184	430
30	185	412
31	185	395
32	186	378
33	187	363
34	187	349
35	188	335
36	189	322
37	190	310
38	190	298
39	191	287
40	192	276
41	192	266
42	193	256
43	194	247
44	194	238
45	195	229
46	196	221
47	196	213
48	197	205
49	198	198
50	199	191
51	199	184
52	200	177
53	201	171
54	201	165
55	202	159
56	203	153
57	203	147
58	204	142
59	205	136
60	205	131
61	206	126
62	207	121
63	207	116
64	208	112
65	209	107
66	210	103
67	210	99
68	211	95
69	212	90
70	213	87
71	213	83
72	214	79
73	215	75
74	215	71
75	216	68
76	217	64
77	217	61
78	218	58
79	219	54
80	219	51
81	220	48
82	221	45
83	222	42
84	222	39
85	223	36
86	224	33
87	224	30
88	225	27
89	226	25
90	226	22
91	227	19
92	228	17
93	229	14
94	230	12
95	230	9
96	231	7
97	232	4
98	232	2
99	233	0
