iter	RMSE
0	14.55356847
1	14.22449772
2	13.8604774
3	13.5335547
4	13.208524
5	12.91572402
6	12.6289589
7	12.35289681
8	12.10889495
9	11.87836059
10	11.64362205
11	11.44200601
12	11.23378211
13	11.05042958
14	10.86705479
15	10.69905769
16	10.52698175
17	10.38818962
18	10.25811656
19	10.12741012
20	9.999075869
21	9.881978902
22	9.774495468
23	9.676178991
24	9.568581485
25	9.470274021
26	9.387310212
27	9.310853047
28	9.238680659
29	9.169081798
30	9.107996586
31	9.050222831
32	8.99887304
33	8.946467028
34	8.898150032
35	8.850710586
36	8.806709747
37	8.760561002
38	8.720152842
39	8.681682863
40	8.642029824
41	8.609492166
42	8.577994013
43	8.549112548
44	8.522349137
45	8.497601616
46	8.472877009
47	8.446156725
48	8.420333474
49	8.39977123
50	8.376683494
51	8.355307332
52	8.337158069
53	8.321022979
54	8.304719451
55	8.290677061
56	8.274917923
57	8.260506966
58	8.243326011
59	8.231527823
60	8.218429187
61	8.208800049
62	8.199558325
63	8.189066598
64	8.178971378
65	8.168180167
66	8.160380215
67	8.15086163
68	8.142563403
69	8.133439802
70	8.125690421
71	8.117994383
72	8.112844442
73	8.105462016
74	8.098437724
75	8.093045416
76	8.086646612
77	8.0796508
78	8.074949009
79	8.071290292
80	8.064706304
81	8.058429835
82	8.051868947
83	8.049011906
84	8.045114057
85	8.042300804
86	8.039259325
87	8.035423275
88	8.031178079
89	8.026496264
90	8.022851183
91	8.018089573
92	8.010399025
93	8.006472041
94	8.003395413
95	8.002300298
96	7.99941864
97	7.994261821
98	7.991722417
99	7.986704784
100	7.984059406
101	7.980830316
102	7.979157104
103	7.975801811
104	7.971901935
105	7.965337826
106	7.958469605
107	7.950739685
108	7.949209988
109	7.944668733
110	7.937233197
111	7.9338284
112	7.930582865
113	7.928580304
114	7.926154072
115	7.924839252
116	7.921497547
117	7.920388423
118	7.916069061
119	7.914088178
120	7.912704774
121	7.90900032
122	7.903033302
123	7.901537635
124	7.898627185
125	7.896687143
126	7.893115586
127	7.891797107
128	7.886697251
129	7.885425956
130	7.8823917
131	7.881185751
132	7.877372731
133	7.876341282
134	7.872770387
135	7.868154775
136	7.866294957
137	7.863238763
138	7.858371551
139	7.857325455
140	7.855559785
141	7.850383039
142	7.849258782
143	7.845992165
144	7.844289602
145	7.841961495
146	7.839690159
147	7.838374666
148	7.837730655
149	7.834260589
150	7.832739861
151	7.831130144
152	7.827013566
153	7.82529756
154	7.823397025
155	7.820759294
156	7.819545175
157	7.818520428
158	7.814850379
159	7.812088792
160	7.811122142
161	7.809182145
162	7.805683349
163	7.798512688
164	7.796376029
165	7.794430998
166	7.78918443
167	7.787323131
168	7.784306987
169	7.782098413
170	7.779777846
171	7.777999258
172	7.775754598
173	7.772013518
174	7.766895745
175	7.763622789
176	7.75891186
177	7.757347647
178	7.756386922
179	7.750553822
180	7.747535205
181	7.744729671
182	7.739696267
183	7.737514455
184	7.732203365
185	7.73009114
186	7.726121082
187	7.724307715
188	7.72235228
189	7.721238692
190	7.71933281
191	7.713096554
192	7.711419339
193	7.710508411
194	7.705054168
195	7.702874222
196	7.69645966
197	7.691587208
198	7.691001402
199	7.686121005
200	7.685247862
201	7.683560699
202	7.681986811
203	7.676596188
204	7.674244259
205	7.66936115
206	7.66568193
207	7.661841354
208	7.658699229
209	7.656438749
210	7.649218531
211	7.640711454
212	7.636447536
213	7.634631937
214	7.632332519
215	7.630266444
216	7.62832678
217	7.626392376
218	7.624443198
219	7.619028029
220	7.613734317
221	7.611836435
222	7.610229022
223	7.604835411
224	7.597058619
225	7.591220762
226	7.584952355
227	7.581433257
228	7.575904089
229	7.570720117
230	7.569399584
231	7.565589145
232	7.563546447
233	7.561468003
234	7.558893363
235	7.557356164
236	7.553866665
237	7.549252885
238	7.545149094
239	7.543113834
240	7.541761643
241	7.539628491
242	7.538641001
243	7.533038049
244	7.527524047
245	7.525340065
246	7.519542325
247	7.516193307
248	7.514460935
249	7.511191643
250	7.508666746
251	7.507532627
252	7.505868412
253	7.498512694
254	7.493259776
255	7.489274018
256	7.487350935
257	7.486051653
258	7.484783429
259	7.479595065
260	7.47467459
261	7.470685859
262	7.467577994
263	7.462946007
264	7.461813545
265	7.460616773
266	7.456094781
267	7.448777374
268	7.444908363
269	7.442303027
270	7.436821312
271	7.430615479
272	7.429229123
273	7.422664951
274	7.418062471
275	7.410769017
276	7.405554389
277	7.400910024
278	7.399832858
279	7.398682481
280	7.397742984
281	7.394153191
