gender,Area,type,ctc,math_score,reading_score,writing_score
female,North,Development,11,40,42,38
female,North,Development,14,97,87,82
female,West,Development,20,81,81,79
male,North,Development,3,74,81,83
male,East,Development,13.1,50,64,59
female,North,Development,14,75,90,88
female,South,Development,7.5,57,56,57
male,West,Development,10,55,61,54
male,North,Development,9,58,73,68
female,West,Development,20,53,58,10
male,South,Development,16.5,59,65,66
male,South,Development,25,50,56,54
female,East,Development,12,65,54,57
male,West,Development,13,55,65,62
female,South,Development,12,66,71,76
female,South,Development,5,57,74,76
male,North,Development,12,82,84,82
female,South,Development,12,53,55,48
male,North,Development,10,77,69,68
female,South,Development,3.6,53,44,42
male,South,Development,8,88,78,75
female,South,Development,6.5,71,84,87
male,North,Development,7.2,33,41,43
female,South,Development,8.15,82,85,86
male,North,Development,15,52,55,49
male,South,Development,3.6,58,59,58
male,North,Development,3.6,0,17,10
female,South,Development,8.5,79,74,72
male,North,Development,9,39,39,34
female,East,Development,10,62,61,55
female,East,Development,14,69,80,71
female,East,Development,2.4,59,58,59
female,North,Development,23,67,64,61
male,South,Development,27,45,37,37
male,West,Development,13,60,72,74
male,North,Development,15,61,58,56
female,North,Development,3.4,39,64,57
female,South,Development,18,58,63,73
female,South,Development,16,63,55,4
male,North,Development,6.5,41,51,48
male,North,Development,12,61,57,56
female,North,Development,12,49,49,41
female,North,Development,10,44,41,38
male,West,Development,9,30,26,22
female,West,Development,14,80,78,81
male,South,Development,11,61,74,72
female,West,Development,6.5,62,68,68
female,North,Development,17,47,49,50
female,South,Development,15,49,45,45
male,East,Development,7.5,50,47,54
male,South,Development,8,72,64,63
male,North,Development,10,42,39,34
male,South,Development,0.2,73,80,82
male,North,Development,8.5,76,83,88
female,South,Development,12,71,71,74
female,North,Development,13.1,58,70,67
female,South,Development,6,73,86,82
male,North,Development,12.15,65,72,74
male,North,Development,6.2,27,34,36
female,South,Development,9,71,79,71
male,South,Development,12,43,45,50
male,South,Development,3,79,86,92
male,South,Development,18,78,81,82
female,South,Development,8,65,66,62
female,South,Development,23,63,72,70
male,South,Development,8,58,67,62
male,South,Development,15,65,67,62
female,South,Development,7,79,67,67
male,South,Development,20,68,74,74
female,North,Development,13,85,91,89
female,North,Development,10,60,44,47
male,North,Development,6,98,86,90
female,East,Development,0.25,58,67,72
male,West,Development,13,87,100,100
male,South,Development,16,66,63,64
male,South,Development,10,52,76,70
male,South,Development,16.5,70,64,72
male,South,Development,12,77,89,98
female,North,Development,8,62,55,49
female,South,Development,29,54,53,47
female,South,Development,10,51,58,54
male,South,Development,17,99,100,100
male,North,Development,15,84,77,74
male,North,Development,8,75,85,82
male,North,Development,18,78,82,79
female,South,Development,19,51,63,61
female,North,Development,15,55,69,65
female,South,Development,8.3,79,92,89
female,South,Development,16.5,91,89,92
female,South,Development,14,88,93,93
female,South,Development,11,63,57,56
male,West,Development,8,83,80,73
male,North,Development,10,87,95,86
male,South,Development,6,72,68,67
female,West,Development,12,65,77,74
male,West,Development,3,82,82,74
male,South,Development,20,51,49,51
female,North,Development,12.5,89,84,82
female,North,Development,9,53,37,40
female,West,Development,5,87,74,70
male,North,Development,12,75,81,84
male,North,Development,5,74,79,75
female,West,Development,20,58,55,48
male,North,Development,13,51,54,41
male,North,Development,12,70,55,56
female,West,Development,15,59,66,67
female,North,Development,0.2,71,61,69
male,North,Development,12,76,72,71
female,North,Development,22,59,62,64
female,South,Development,22,42,55,54
female,West,Support,17,57,43,47
male,South,Development,10,88,73,78
male,North,Development,8.85,22,39,33
female,West,Development,6,88,84,75
female,South,Development,19.5,73,68,66
male,North,Development,3.6,68,75,81
female,North,Development,20.75,100,100,93
female,South,Development,15,62,67,69
female,West,Development,31,77,67,68
female,South,Development,14.5,59,70,66
female,East,Development,14,54,49,47
male,South,Development,10,62,67,61
female,South,Development,10.4,70,89,88
male,South,Development,12,66,74,78
male,South,Development,26.4,60,60,60
female,South,Development,16,61,86,87
male,North,Development,11,66,62,64
male,North,Development,10,82,78,74
male,South,Development,16,75,88,85
female,West,Development,6,49,53,52
male,South,Development,12,52,53,49
male,East,Development,8,81,92,91
male,South,Development,10,96,100,100
female,North,Development,7.2,53,51,51
male,North,Development,0.3,58,76,78
male,West,Development,19.5,68,83,78
male,South,Development,15,67,75,70
male,East,Development,2.4,72,73,74
female,North,Development,16.5,94,88,78
male,West,Development,17,79,86,81
female,North,Development,13.1,63,67,70
female,South,Development,6,43,51,54
female,North,Development,12.5,81,91,87
male,South,Development,14,46,54,58
male,South,Development,17.2,71,77,77
female,North,Development,12,52,70,62
male,South,Development,12,97,100,100
male,West,Development,15,62,68,75
female,West,Development,12,46,64,66
male,West,Development,15.5,50,50,47
male,South,Development,16.5,65,69,70
male,North,Development,14,45,52,49
female,South,Development,12,65,67,65
male,South,Development,0.3,80,76,65
male,South,Development,25,62,66,68
female,South,Development,20,48,52,45
female,North,Development,12.6,77,88,87
male,West,Development,8,66,65,69
female,South,Development,9.5,76,83,79
male,South,Development,17,62,64,66
male,South,Development,10,77,62,62
female,North,Development,16,69,84,85
male,South,Development,15,61,55,52
male,North,Development,18,59,69,65
female,South,Development,10,55,56,51
female,East,Development,3.6,45,53,55
male,South,Development,19.45,78,79,76
female,North,Development,25,67,84,86
female,South,Development,20,65,81,77
female,South,Development,15.5,69,77,69
male,North,Development,8,57,69,68
male,North,Development,20,59,41,42
female,East,Development,13.1,74,71,78
female,North,Development,5,82,62,62
female,East,Development,13.5,81,80,76
female,South,Development,8.5,74,81,76
female,South,Development,10,58,61,66
female,South,Development,6,80,79,79
female,North,Development,10,35,28,27
female,South,Development,18,42,62,60
male,South,Development,18,60,51,56
female,North,Development,6.5,87,91,81
female,South,Development,1.25,84,83,75
female,West,Development,24,83,86,88
male,West,Development,17,34,42,39
male,East,Development,10,66,77,70
male,South,Development,12,61,56,56
male,South,Development,13.5,56,68,74
male,South,Development,9,87,85,73
female,West,Support,13,55,65,62
female,South,Development,18,86,80,75
male,North,Development,6,52,66,73
female,South,Development,21,45,56,54
male,South,Development,24,72,72,71
female,West,Development,18,57,50,54
male,South,Development,18,68,72,64
male,South,Development,12,88,95,94
male,South,Development,13,76,64,66
female,North,Development,32,46,43,42
female,East,Development,4.8,67,86,83
female,South,Development,18,92,87,78
female,South,Development,20,83,82,84
male,South,Development,13.3,80,75,77
female,South,Development,0.3,63,66,67
male,North,Development,9,64,60,74
male,West,Development,9,54,52,51
male,North,Development,14.6,84,80,80
male,West,Development,7.5,73,68,66
female,South,Development,31,80,83,83
female,West,Development,13.5,56,52,55
male,North,Development,12,59,51,43
male,North,Development,24,75,74,69
female,West,Development,10,85,76,71
male,South,Development,10,89,76,74
male,South,Development,25,58,70,68
male,South,Development,10,65,64,62
female,South,Development,16,68,60,53
female,North,Development,9,47,49,49
male,South,Development,12,71,83,83
male,South,Development,12,60,70,70
female,South,Development,16,80,80,72
male,South,Development,8.5,54,52,52
female,North,Development,12,62,73,70
male,North,Development,20,64,73,68
female,South,Development,8,78,77,77
female,West,Development,13.1,70,75,78
female,South,Development,8,65,81,81
male,North,Development,12,64,79,77
male,South,Development,20,79,79,78
female,South,Development,26,44,50,51
male,South,Development,9,99,93,90
male,South,Development,8,76,73,68
female,South,Development,13,59,42,41
male,North,Development,3,63,75,81
male,North,Development,10,69,72,77
male,North,Development,19.4,88,92,95
male,West,Development,7,71,76,70
female,South,Development,12,69,63,61
male,North,Development,13.5,58,49,42
male,North,Development,16,47,53,58
male,West,Development,13,65,70,71
female,West,Development,18.15,88,85,76
female,West,Development,13,83,78,73
male,North,Development,10,85,92,93
male,South,Development,50,59,63,75
male,South,Development,23,65,86,80
male,West,Development,18,73,56,57
female,North,Development,9,53,52,42
female,South,Development,25,45,48,46
male,South,Development,10,73,79,84
